Available from: "http://www.isa.ulisboa.pt/proj/clipick/climaterequest_fast.php?ar=5&lat=38.7087&lon=-9.1849&mod=hisafe&fmt=csv&tspan=d&sd=01&sm=01&sy=1981&ed=31&em=12&ey=2010&dts=knmievaluation"
Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind,vpd
1,1,1981,15.56,2.29,73.95,0.73,10.24,0.00,2.61,(0.32409212424668354+0j)
2,1,1981,13.71,1.65,82.06,0.63,10.34,0.03,3.37,(0.2024464671865247+0j)
3,1,1981,13.47,3.23,85.83,0.58,9.49,0.06,3.25,(0.16399439055397536+0j)
4,1,1981,13.95,6.20,86.13,0.44,9.13,0.01,5.04,(0.1762573095278801+0j)
5,1,1981,14.53,6.50,88.28,0.55,9.86,0.03,4.12,(0.15367269175689602+0j)
6,1,1981,14.11,4.52,80.26,0.76,10.09,0.00,4.40,(0.24216670441002974+0j)
7,1,1981,14.71,3.68,79.08,0.71,10.50,0.00,3.82,(0.2582460165792708+0j)
8,1,1981,14.36,3.01,77.45,0.77,10.67,0.00,5.09,(0.2699957191854009+0j)
9,1,1981,12.70,2.04,84.78,0.50,9.85,0.01,2.89,(0.16561600530899967+0j)
10,1,1981,14.46,1.84,81.37,0.62,10.07,0.00,3.64,(0.2183954888846107+0j)
11,1,1981,10.19,2.75,61.05,1.02,10.99,0.00,6.39,(0.38718462331027426+0j)
12,1,1981,10.20,1.69,61.90,0.91,11.17,0.00,6.13,(0.368552006354814+0j)
13,1,1981,12.09,3.55,71.41,0.81,10.57,0.07,7.02,(0.3143140233440108+0j)
14,1,1981,12.92,2.59,77.15,0.64,10.56,0.08,4.65,(0.25431463898011264+0j)
15,1,1981,13.75,7.42,83.06,0.50,5.44,0.08,3.65,(0.2205566966342285+0j)
16,1,1981,13.54,7.72,87.26,0.39,4.44,0.14,2.80,(0.16587395019735873+0j)
17,1,1981,14.87,8.60,81.99,0.66,8.31,0.03,3.21,(0.2529080571835134+0j)
18,1,1981,14.76,5.53,81.92,0.64,11.35,0.00,4.19,(0.233619703017093+0j)
19,1,1981,15.92,5.50,86.64,0.47,10.87,0.01,4.97,(0.1811779954293291+0j)
20,1,1981,15.61,7.89,87.81,0.46,10.81,0.01,4.85,(0.17299083241836777+0j)
21,1,1981,16.75,6.44,87.39,0.63,10.75,0.03,2.34,(0.1810305523649609+0j)
22,1,1981,18.45,5.22,80.18,0.77,11.53,0.02,3.92,(0.2981834777394221+0j)
23,1,1981,17.13,6.39,80.78,0.57,9.54,0.00,3.55,(0.2800748929728656+0j)
24,1,1981,14.88,7.50,92.18,0.47,9.32,0.09,2.23,(0.10670373336415784+0j)
25,1,1981,16.60,4.81,84.52,0.65,11.75,0.00,3.43,(0.21284699551290598+0j)
26,1,1981,16.59,3.43,78.72,0.73,12.04,0.00,2.50,(0.2839983006662763+0j)
27,1,1981,17.11,6.06,76.47,0.60,7.39,0.05,2.82,(0.3400413592361651+0j)
28,1,1981,17.58,7.37,78.70,0.75,10.71,0.09,4.03,(0.3235158799864237+0j)
29,1,1981,15.80,8.84,87.52,0.42,5.57,0.38,3.67,(0.18288805646631157+0j)
30,1,1981,16.67,10.68,81.72,0.60,6.13,0.11,4.36,(0.2908920525043315+0j)
31,1,1981,18.07,9.73,82.70,0.60,7.24,0.30,3.64,(0.28363456844574353+0j)
1,2,1981,17.32,7.30,74.12,0.91,12.55,0.00,3.67,(0.38820778452420646+0j)
2,2,1981,17.30,4.64,70.42,0.83,13.40,0.00,3.23,(0.4178926797972454+0j)
3,2,1981,17.70,3.71,76.85,0.72,13.73,0.02,2.55,(0.32666805146074007+0j)
4,2,1981,14.07,7.87,89.63,0.36,3.82,0.59,3.79,(0.13839743077343303+0j)
5,2,1981,15.74,7.44,74.93,0.86,13.47,0.00,4.91,(0.3535926241297558+0j)
6,2,1981,18.44,4.34,79.82,0.74,13.85,0.00,3.02,(0.29813091488866195+0j)
7,2,1981,19.66,5.44,71.74,0.83,14.04,0.00,2.93,(0.45060383237378754+0j)
8,2,1981,17.84,4.80,78.19,0.72,14.01,0.00,2.15,(0.31662924764826417+0j)
9,2,1981,13.19,7.27,85.24,0.43,5.74,0.38,4.61,(0.18723599301479577+0j)
10,2,1981,12.79,6.54,71.94,0.66,10.19,0.19,5.94,(0.34345016803794515+0j)
11,2,1981,13.51,4.66,58.32,0.86,14.53,0.00,5.32,(0.5002223200786924+0j)
12,2,1981,11.22,0.70,60.20,0.76,15.45,0.00,2.51,(0.3929575945663134+0j)
13,2,1981,11.79,7.14,84.71,0.84,8.64,3.60,3.68,(0.1830817184468494+0j)
14,2,1981,12.33,6.30,86.99,0.59,5.43,0.95,6.37,(0.15534504818931483+0j)
15,2,1981,10.42,8.44,90.88,0.67,2.78,3.33,6.37,(0.10799436749515201+0j)
16,2,1981,16.68,6.63,82.05,1.31,14.84,0.05,3.52,(0.25807334266895543+0j)
17,2,1981,15.89,5.75,80.31,1.10,14.28,0.00,2.70,(0.2682366733320356+0j)
